State,District,Date,Year,Month,Avg_rainfall,Agency_name
Telangana,Kamareddy,2025-04-13,2025,04,0.0,NRSC VIC MODEL
Telangana,Kamareddy,2025-04-12,2025,04,0.002701599,NRSC VIC MODEL
Telangana,Kamareddy,2025-04-26,2025,04,0.4332314522,NRSC VIC MODEL
Telangana,Kamareddy,2025-05-18,2025,05,1.980004819,NRSC VIC MODEL
Telangana,Kamareddy,2025-05-27,2025,05,0.3236476197,NRSC VIC MODEL
Telangana,Kamareddy,2025-05-31,2025,05,0.1154460853,NRSC VIC MODEL
Telangana,Kamareddy,2025-06-01,2025,06,7.88537e-05,NRSC VIC MODEL
Telangana,Kamareddy,2025-06-22,2025,06,0.0793511383,NRSC VIC MODEL
Telangana,Kamareddy,2025-06-27,2025,06,10.9989748052,NRSC VIC MODEL
Telangana,Kamareddy,2025-06-29,2025,06,0.0138022907,NRSC VIC MODEL
Telangana,Karimnagar,2025-01-11,2025,01,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-01-15,2025,01,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-01-24,2025,01,7.92655e-05,NRSC VIC MODEL
Telangana,Karimnagar,2025-01-28,2025,01,4.14322e-05,NRSC VIC MODEL
Telangana,Karimnagar,2025-01-29,2025,01,4.14322e-05,NRSC VIC MODEL
Telangana,Karimnagar,2025-02-09,2025,02,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-02-10,2025,02,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-02-17,2025,02,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-02-21,2025,02,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-02-23,2025,02,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-03-12,2025,03,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-03-16,2025,03,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-03-25,2025,03,0.0002004264,NRSC VIC MODEL
Telangana,Karimnagar,2025-03-26,2025,03,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-03-29,2025,03,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-03-30,2025,03,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-03-31,2025,03,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-04-01,2025,04,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-04-14,2025,04,0.003897205,NRSC VIC MODEL
Telangana,Karimnagar,2025-04-22,2025,04,0.0,NRSC VIC MODEL
Telangana,Karimnagar,2025-04-25,2025,04,0.8113175626,NRSC VIC MODEL
